 TIME                                    TempTop                                  TempBottom                               Node1                                    Node2                                    Node3                                    Node4                                    Node5                                    Node6                                    Node7                                    Node8                                    Node9                                    Node10                                  
  +1.9050000000000001E+01   +6.1901700973165212E+01   +5.7293225799295037E+01   +6.1901700973165212E+01   +6.1002199105982037E+01   +6.0595606494726638E+01   +6.0413108005371498E+01   +6.0128392861820508E+01   +5.9333394333312448E+01   +5.7293225799295037E+01   +5.2868030417391871E+01   +4.5139313153396841E+01   +3.4849088517672172E+01
  +1.9100000000000001E+01   +6.2102385376803433E+01   +5.7680911176831501E+01   +6.2102385376803433E+01   +6.1198871013834882E+01   +6.0691647740047564E+01   +6.0450445924296154E+01   +6.0175413948846057E+01   +5.9475205716244425E+01   +5.7680911176831501E+01   +5.3746799544823375E+01   +4.6735364578522756E+01   +3.6996787374507250E+01
  +1.9149999999999999E+01   +6.2268425629190226E+01   +5.8038112826567300E+01   +6.2268425629190226E+01   +6.1398674301527294E+01   +6.0812739287445943E+01   +6.0505231455911783E+01   +6.0226154262565572E+01   +5.9607081407399193E+01   +5.8038112826567300E+01   +5.4562402292639504E+01   +4.8240771474256356E+01   +3.9090599915934533E+01
  +1.9199999999999999E+01   +6.2405616417318399E+01   +5.8365973506105334E+01   +6.2405616417318399E+01   +6.1594799139237551E+01   +6.0955160815530640E+01   +6.0579820963282536E+01   +6.0283822045091512E+01   +5.9730892658325452E+01   +5.8365973506105334E+01   +5.5316102138061297E+01   +4.9655507428285574E+01   +4.1126869041851727E+01
  +1.9250000000000000E+01   +6.2518871902769099E+01   +5.8666616083990604E+01   +6.2518871902769099E+01   +6.1782642234694357E+01   +6.1114690020242683E+01   +6.0675628295934281E+01   +6.0351862010498706E+01   +5.9849347181198603E+01   +5.8666616083990604E+01   +5.6010394642013054E+01   +5.0981342068509775E+01   +4.3104180541123540E+01
  +1.9300000000000001E+01   +6.2612193269210920E+01   +5.8942722765116358E+01   +6.2612193269210920E+01   +6.1959076497808077E+01   +6.1286892388669827E+01   +6.0793110894035543E+01   +6.0433700489002248E+01   +5.9965775857208612E+01   +5.8942722765116358E+01   +5.6647977108441225E+01   +5.2219941566891912E+01   +4.5020692073268080E+01
  +1.9350000000000001E+01   +6.2688869153106431E+01   +5.9197652494392898E+01   +6.2688869153106431E+01   +6.2122065364079639E+01   +6.1467353811732593E+01   +6.0931833808575320E+01   +6.0532584304134467E+01   +6.0084106968750483E+01   +5.9197652494392898E+01   +5.7231877387332560E+01   +5.3372928113356664E+01   +4.6873977490246055E+01
  +1.9399999999999999E+01   +6.2751628865683898E+01   +5.9435577445987192E+01   +6.2751628865683898E+01   +6.2270378704112019E+01   +6.1651815053637840E+01   +6.1090541256661950E+01   +6.0651436272431518E+01   +6.0208827142991488E+01   +5.9435577445987192E+01   +5.7765629892845382E+01   +5.4441975116626097E+01   +4.8660833219481205E+01
  +1.9449999999999999E+01   +6.2802760140300606E+01   +5.9661642104718304E+01   +6.2802760140300606E+01   +6.2403383378417061E+01   +6.1836237292491468E+01   +6.1267212152366362E+01   +6.0792712352488834E+01   +6.0344926102521001E+01   +5.9661642104718304E+01   +5.8253515093600228E+01   +5.5428958262192197E+01   +5.0377038982306196E+01
  +1.9500000000000000E+01   +6.2844211702807279E+01   +5.9882200380910220E+01   +6.2844211702807279E+01   +6.2520916233034271E+01   +6.2016861934338806E+01   +6.1459129420264993E+01   +6.0958280646405704E+01   +6.0497852793169464E+01   +5.9882200380910220E+01   +5.8700987981328900E+01   +5.6336398248468250E+01   +5.2017441524499318E+01
  +1.9550000000000001E+01   +6.2878799413380527E+01   +6.0111727833520277E+01   +6.2878799413380527E+01   +6.2625861427700890E+01   +6.2195052026584975E+01   +6.1669154538310956E+01   +6.1155658908991875E+01   +6.0679404048406830E+01   +6.0111727833520277E+01   +5.9125960356490914E+01   +5.7188828513876899E+01   +5.3598429781507022E+01
