 TIME                                    HW_Temp                                  HW_Flow                                  PVPower                                  PV4HW                                    HeaterHeat                               HeaterPower                              HeaterPerf                               Tank_FlowRate                            Tank_TempOut                             T_mains                                  T_amb                                    GHI                                     
  +1.6949999999999999E+01   +6.0932566945654052E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0932566945654052E+01   +1.8047917096523090E+01   +2.9592499999999998E+01   +6.2769717117704681E+02
  +1.7000000000000000E+01   +6.0921588610398103E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +6.0921588610398103E+01   +1.8047847647188870E+01   +2.9597500000000004E+01   +5.7872299111581560E+02
  +1.7050000000000001E+01   +4.4999973111165701E+01   +3.8060987188199160E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.3932810728490863E+00   +6.0910572579616790E+01   +1.8047778201849763E+01   +2.9597500000000004E+01   +5.3765999999999951E+02
  +1.7100000000000001E+01   +4.4999972922798840E+01   +7.6121974376398320E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +4.7878055678560285E+00   +6.0899481516739883E+01   +1.8047708760505834E+01   +2.9592499999999998E+01   +5.0417999999999904E+02
  +1.7149999999999999E+01   +4.4999972508561960E+01   +1.1418296156459478E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +7.1835873552247174E+00   +6.0888313098035432E+01   +1.8047639323157203E+01   +2.9587500000000002E+01   +4.7070000000000095E+02
  +1.7199999999999999E+01   +4.4999987612328546E+01   +1.5224394875279394E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +9.5806411284789164E+00   +6.0877088786139062E+01   +1.8047569889803938E+01   +2.9582500000000007E+01   +4.3722000000000048E+02
  +1.7250000000000000E+01   +4.4999998099967186E+01   +1.9030493594099308E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.1978961097993047E+01   +6.0865849186849168E+01   +1.8047500460446141E+01   +2.9577500000000001E+01   +4.0374000000000001E+02
  +1.7300000000000001E+01   +4.4999997725464006E+01   +2.2836592312919223E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.4378540905781929E+01   +6.0854610242500499E+01   +1.8047431035083893E+01   +2.9572500000000005E+01   +3.7025999999999954E+02
  +1.7350000000000001E+01   +4.4999997167265192E+01   +2.6642691031739140E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.6779387041157129E+01   +6.0843367199790464E+01   +1.8047361613717285E+01   +2.9567499999999995E+01   +3.3677999999999912E+02
  +1.7399999999999999E+01   +4.4999996451233685E+01   +3.0448789750558785E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +1.9181504064505603E+01   +6.0832113569383324E+01   +1.8047292196346408E+01   +2.9562500000000000E+01   +3.0330000000000103E+02
  +1.7449999999999999E+01   +4.4999995518221795E+01   +3.4254888469378706E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.1584898942443832E+01   +6.0820840878122063E+01   +1.8047222782971353E+01   +2.9557500000000005E+01   +2.6982000000000056E+02
  +1.7500000000000000E+01   +4.4999994348455367E+01   +3.8060987188198617E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.3989581912890468E+01   +6.0809538260283141E+01   +1.8047153373592202E+01   +2.9552499999999998E+01   +2.3634000000000009E+02
  +1.7550000000000001E+01   +4.4999992898847140E+01   +4.1867085907018534E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.6395567451070196E+01   +6.0798191923545687E+01   +1.8047083968209048E+01   +2.9547500000000003E+01   +2.1942000000000007E+02
  +1.7600000000000001E+01   +4.4999991107857277E+01   +4.5673184625838445E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +2.8802875659034896E+01   +6.0786784315765360E+01   +1.8047014566821989E+01   +2.9542499999999997E+01   +2.1906000000000006E+02
  +1.7649999999999999E+01   +4.4999988887447024E+01   +4.9479283344658093E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.1211534241545316E+01   +6.0775292863070071E+01   +1.8046945169431098E+01   +2.9537500000000001E+01   +2.1870000000000007E+02
  +1.7699999999999999E+01   +4.4999991561553436E+01   +5.3285382063478011E+01   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00   +3.3621581397511271E+01   +6.0763696720655751E+01   +1.8046875776036476E+01   +2.9532500000000006E+01   +2.1834000000000006E+02
