 TIME                                    TempTop                                  TempBottom                               C_Load                                   C_Tmax                                   C_Tmin                                   C_All                                   
  +5.8850000000000001E+01   +6.0769625119882448E+01   +6.2153245990626857E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.8899999999999999E+01   +6.0752160119272332E+01   +6.2143391863611598E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.8950000000000003E+01   +6.0734755412887338E+01   +6.2133560087440046E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9000000000000000E+01   +6.0717410892316074E+01   +6.2123750650238215E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9049999999999997E+01   +6.0700124949216971E+01   +6.2113962791793831E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9100000000000001E+01   +6.0682894478408173E+01   +6.2104195004609188E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9149999999999999E+01   +6.0665717879403545E+01   +6.2094446530026310E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9200000000000003E+01   +6.0648595053308583E+01   +6.2084717357173382E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9250000000000000E+01   +6.0631525901553374E+01   +6.2075007475204437E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9299999999999997E+01   +6.0614510325891260E+01   +6.2065316873299381E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9350000000000001E+01   +6.0597548228397528E+01   +6.2055645540664052E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9399999999999999E+01   +6.0580639511468071E+01   +6.2045993466530255E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9450000000000003E+01   +6.0563784077818063E+01   +6.2036360640155820E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
  +5.9500000000000000E+01   +6.0546981830480668E+01   +6.2026747050824632E+01   +1.0000000000000000E+00   +1.0000000000000000E+00   +0.0000000000000000E+00   +0.0000000000000000E+00
